Sample	stats_Number_of_reads	stats_Strandness	stats_Percent_uniquely_aligned_reads	stats_Sample_name	stats_Percent_duplicates	stats_Number_of_uniquely_aligned_reads	stats_Number_of_rRNA	stats_Percent_of_aligned_reads	stats_Number_of_multiple_aligned_reads	stats_Number_of_duplicates	stats_Percent_of_rRNA	stats_Percent_multiple_aligned	stats_Number_of_aligned_reads
D307-D303T33	117523687.0	reverse	83.9	1_pre_0	25.54	98596926.0	598923.0	92.95	10635811.0	30020013.0	0.51	9.05	109232737.0
D307-D303T34	107704443.0	reverse	83.12	2_pre_0	24.72	89524573.0	969605.0	91.05	8535555.0	26623393.0	0.9	7.92	98060128.0
D307-D303T35	120208690.0	reverse	85.37	3_pre_II	22.21	102622738.0	1166370.0	92.19	8202091.0	26696752.0	0.97	6.82	110824829.0
D307-D303T36	109246028.0	reverse	85.7	1_post_II	20.72	93629043.0	400914.0	91.63	6477137.0	22635213.0	0.37	5.93	100106180.0
D307-D303T37	136416434.0	reverse	87.13	2_post_II	23.36	118855955.0	1095464.0	93.94	9299632.0	31861328.0	0.8	6.82	128155587.0
D307-D303T38	132820639.0	reverse	85.78	4_pre_0	23.45	113931643.0	756092.0	93.88	10766946.0	31149205.0	0.57	8.11	124698589.0
D307-D303T39	131499315.0	reverse	84.52	5_pre_I	30.62	111144438.0	612676.0	91.91	9710807.0	40261975.0	0.47	7.38	120855245.0
D307-D303T40	158601533.0	reverse	85.09	6_pre_0	17.55	134954936.0	3288601.0	92.35	11513374.0	27833910.0	2.07	7.26	146468310.0
D307-D303T41	92966728.0	reverse	77.86	7_pre_II	24.58	72384022.0	2387064.0	86.72	8238267.0	22853734.0	2.57	8.86	80622289.0
D307-D303T42	104685669.0	reverse	81.71	8_pre_III	22.8	85534726.0	894888.0	89.74	8412052.0	23872915.0	0.85	8.04	93946778.0
D307-D303T43	124020118.0	reverse	83.11	9_pre_I	26.26	103071869.0	1970128.0	91.91	10916977.0	32562278.0	1.59	8.8	113988846.0
D307-D303T44	112828785.0	reverse	79.7	10_pre_0	22.95	89926081.0	2207652.0	88.71	10164219.0	25897322.0	1.96	9.01	100090300.0
D307-D303T45	137156821.0	reverse	82.63	11_pre_III	29.45	113336781.0	2614840.0	91.95	12774624.0	40397667.0	1.91	9.31	126111405.0
D307-D303T46	151656288.0	reverse	85.87	12_pre_0	23.29	130225652.0	2436591.0	93.89	12167879.0	35319375.0	1.61	8.02	142393531.0
D307-D303T47	127933928.0	reverse	73.17	13_pre_III	26.27	93607278.0	7094835.0	85.19	15385724.0	33611587.0	5.55	12.03	108993002.0
D307-D303T48	113125512.0	reverse	82.38	14_pre_I	23.21	93190998.0	2316413.0	91.15	9919836.0	26258250.0	2.05	8.77	103110834.0
D307-D303T49	94628712.0	reverse	78.37	15_pre_I	20.54	74156870.0	2324216.0	86.89	8069345.0	19434173.0	2.46	8.53	82226215.0
D307-D303T50	108962999.0	reverse	80.0	16_pre_0	22.89	87169626.0	2477072.0	88.18	8911920.0	24943293.0	2.27	8.18	96081546.0
D307-D303T51	103721199.0	reverse	75.49	17_pre_0	22.41	78297018.0	4002034.0	84.78	9633799.0	23244116.0	3.86	9.29	87930817.0
D307-D303T52	99884737.0	reverse	82.1	18_pre_II	19.08	82005316.0	1892737.0	89.16	7049518.0	19055653.0	1.89	7.06	89054834.0
D307-D303T53	122136004.0	reverse	87.6	19_pre_II	19.09	106994760.0	482651.0	93.52	7231270.0	23311167.0	0.4	5.92	114226030.0
D307-D303T54	99127641.0	reverse	84.08	3_post_III	22.33	83345078.0	574546.0	91.44	7293895.0	22136156.0	0.58	7.36	90638973.0
D307-D303T55	144456955.0	reverse	88.2	4_post_II	19.25	127416951.0	1220012.0	94.64	9302634.0	27813367.0	0.84	6.44	136719585.0
D307-D303T56	126996155.0	reverse	82.68	20_pre_I	23.59	105003742.0	3173795.0	92.19	12069958.0	29959791.0	2.5	9.5	117073700.0
D307-D303T57	125496054.0	reverse	83.37	21_pre_0	23.39	104628951.0	1824893.0	92.23	11116485.0	29350058.0	1.45	8.86	115745436.0
